factor_name,factor_family,source_type,v3_status,layer,notes
indicator__roe,indicator,raw_existing,keep_final,base_core,retained core profitability factor after refreshed sample rebuild
indicator__eps,indicator,raw_existing,keep_final,base_core,promoted from watch after refreshed validation strength
derived__log_total_assets,derived,derived_now,keep_final,base_core,kept as preferred size-control representative after Q01 rule
bank_indicator__Nonperforming_loan_rate,bank_indicator,raw_existing,keep_final,base_core,promoted into core after strong refreshed annual validation
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,raw_existing,keep_final,base_core,promoted into core after strongest refreshed annual validation
bank_indicator__deposit_loan_ratio,bank_indicator,raw_existing,keep_final,base_core,retained annual balance-sheet structure factor
bank_indicator__capital_adequacy_ratio,bank_indicator,raw_existing,keep_final,base_core,retained prudential capital strength factor
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,derived_from_panel,keep_enhancement,improvement_layer,top improvement factor in refreshed incremental test
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,derived_from_panel,keep_enhancement,improvement_layer,top derived improvement factor in refreshed incremental test
bank_indicator__non_interest_income_ratio,bank_indicator,raw_existing,watch_keep,watch_layer,statistically positive after rebuild but secondary to stricter prudential block
bank_indicator__net_interest_margin,bank_indicator,raw_existing,watch_keep,watch_layer,positive but weak refreshed validation contribution
indicator__inc_net_profit_to_shareholders_annual,indicator,raw_existing,downgrade_watch,watch_layer,domain-meaningful but failed refreshed validation as base factor
bank_indicator__cost_to_income_ratio,bank_indicator,raw_existing,downgrade_watch,watch_layer,refreshed sample no longer supports prior core status
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,raw_existing,downgrade_watch,watch_layer,capital concept overlaps with capital_adequacy_ratio and failed refreshed validation
derived__investment_income_to_operating_revenue,derived,derived_now,downgrade_watch,watch_layer,base snapshot weak but its improvement version is strong
derived__staff_cash_to_operating_revenue,derived,derived_now,drop_after_retest,drop_layer,still unstable after refreshed sample
income__minority_profit,income,raw_existing,drop_after_retest,drop_layer,remains difficult to interpret despite marginal signal
